,Federal Provider Number,Provider Name,Provider State,Survey Date,Survey Type,Deficiency Prefix,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency
20430,265829,INDEPENDENCE CARE CENTER OF PERRY COUNTY,MO,05/24/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/22/2018,2,Y,False
20443,275044,BIG SKY CARE CENTER,MT,12/11/2017,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",01/23/2018,2,Y,False
20481,26A206,SALEM CARE CENTER,MO,08/23/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",09/27/2018,2,Y,False
20510,265830,KANSAS CITY CENTER FOR REHABILITATION AND HEALTHCA,MO,04/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/14/2018,2,Y,False
20511,285059,ROSE BLUMKIN JEWISH HOME,NE,01/31/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/12/2018,2,Y,False
20515,265803,FOXWOOD SPRINGS LIVING CENTER,MO,10/25/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/04/2018,2,Y,False
20532,265796,PEARL'S II EDEN FOR ELDERS,MO,04/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/12/2018,2,Y,False
20537,265618,SOUTH HAMPTON PLACE,MO,01/05/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/14/2018,2,Y,False
20553,275140,ASPEN MEADOWS HEALTH AND REHABILITATION CENTER,MT,04/23/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/28/2018,2,Y,False
20566,265821,EXCELSIOR SPRINGS NURSING & REHAB,MO,04/19/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/12/2018,2,Y,False
20576,265548,MINER NURSING CENTER,MO,05/11/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/13/2018,2,Y,False
20583,285158,"PREMIER ESTATES OF WEST POINT, LLC",NE,02/05/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/09/2018,2,N,True
20587,26E084,MYERS NURSING & CONVALESCENT CENTER,MO,09/25/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",11/28/2018,2,Y,False
20597,265863,TIFFANY SPRINGS REHABILITATION & HEALTH CARE CENTE,MO,08/24/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/21/2018,2,N,True
20686,265807,CRESTVIEW HOME,MO,05/03/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/27/2018,2,Y,False
20698,265863,TIFFANY SPRINGS REHABILITATION & HEALTH CARE CENTE,MO,12/04/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/13/2019,2,Y,False
20718,265554,MERAMEC NURSING CENTER,MO,09/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",10/11/2018,2,Y,False
20766,265625,ST ANDREW'S AT NEW FLORENCE,MO,07/12/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/24/2018,2,Y,False
20773,265573,BIG SPRING CARE CENTER FOR REHAB AND HEALTHCARE,MO,04/16/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/30/2018,2,Y,False
20781,285078,ST. JOSEPH VILLA NURSING CENTER,NE,02/12/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",03/08/2018,2,Y,True
20807,265769,"SUMMIT, THE",MO,08/02/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/14/2018,2,Y,False
20823,265579,MONTEREY PARK REHABILITATION & HEALTH CARE CENTER,MO,12/04/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/15/2019,2,Y,False
20852,265632,HICKORY MANOR,MO,04/26/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/10/2018,2,Y,False
20902,265791,BROOKING PARK,MO,08/09/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/20/2018,2,Y,False
20906,265798,COMMUNITY MANOR,MO,03/08/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/02/2018,2,Y,False
20912,275072,ROSEBUD HEALTH CARE CENTER,MT,06/28/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/11/2018,2,Y,False
20958,285104,PRESTIGE CARE CENTER OF PLATTSMOUTH,NE,05/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",07/05/2018,2,Y,False
20966,26A378,"SYLVIA G THOMPSON RESIDENCE CENTER, INC",MO,05/18/2018,Health,F,880,Provide and implement an infection prevention and control program.,C,"Deficient, Provider has date of correction",06/28/2018,2,Y,False
20969,265637,TIMBERLAKE CARE CENTER,MO,12/13/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",01/27/2019,2,Y,False
21012,265512,LEE'S SUMMIT POINTE HEALTH & REHABILITATION,MO,12/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/01/2019,2,Y,False
21047,265739,HOLDEN MANOR CARE CENTER,MO,03/08/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/09/2018,2,Y,False
21050,275103,CONTINENTAL CARE AND REHABILITATION,MT,08/23/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/09/2018,2,Y,True
21081,265867,NORTERRE,MO,12/13/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",02/05/2019,2,Y,False
21092,275124,PIONEER CARE AND REHABILITATION,MT,07/26/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/31/2018,2,Y,False
21108,265747,RATLIFF CARE CENTER,MO,05/11/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/25/2018,2,Y,False
21149,265838,LIFE CARE CENTER OF FLORISSANT,MO,09/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",10/31/2018,2,Y,False
21219,265697,GARDEN VALLEY HEALTHCARE CENTER,MO,01/29/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",03/14/2018,2,Y,False
21223,275129,IMMANUEL SKILLED CARE CENTER,MT,05/17/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/16/2018,2,Y,False
21254,265535,GLASGOW GARDENS,MO,01/09/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/19/2018,2,Y,False
21257,265828,AVALON GARDEN,MO,08/03/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/10/2018,2,Y,False
21262,265606,SWEET SPRINGS VILLA,MO,09/27/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/08/2018,2,Y,False
21324,265678,BERTRAND NURSING AND REHAB CENTER,MO,09/28/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/11/2018,2,Y,False
21359,115483,DAWSON HEALTH AND REHABILITATION,GA,04/27/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/19/2018,2,Y,False
21377,265680,OAK KNOLL SKILLED NURSING & REHABILITATION CENTER,MO,09/25/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/09/2018,2,Y,False
21402,265591,PARKDALE MANOR CARE CENTER,MO,04/19/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/21/2018,2,Y,False
21417,265661,ST LUKE'S NURSING CENTER INC,MO,01/26/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/09/2018,2,Y,False
21433,285144,"BCP BLUE HILL, LLC",NE,01/02/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/16/2018,2,Y,False
21444,265670,FRENE VALLEY OF OWENSVILLE-A STONEBRIDGE COMMUNITY,MO,12/18/2017,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",01/31/2018,2,Y,False
21462,265648,MONITEAU CARE CENTER,MO,05/31/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/12/2018,2,Y,False
21485,275107,CLARK FORK VALLEY NURSING HOME,MT,03/08/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/22/2018,2,Y,False
21505,275104,GLACIER CARE CENTER,MT,09/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",11/01/2018,2,Y,False
21520,275024,ST JOHN'S LUTHERAN HOME,MT,03/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/19/2019,2,Y,False
21521,265858,E W THOMPSON HEALTH & REHABILITATION CENTER,MO,09/28/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/05/2018,2,Y,False
21523,265737,LAURIE CARE CENTER,MO,02/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/06/2018,2,Y,False
21536,265557,"WESTFIELD NURSING CENTER, INC",MO,08/10/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/24/2018,2,Y,False
21545,285221,AZRIA HEALTH BROADWELL,NE,02/14/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/31/2018,2,Y,False
21570,265779,LAKESIDE MEADOWS-A STONEBRIDGE COMMUNITY,MO,05/03/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/01/2018,2,Y,False
21614,265524,NORTHVIEW VILLAGE,MO,02/25/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/15/2019,2,Y,False
21623,265766,BETHESDA MEADOW,MO,04/27/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/04/2018,2,Y,False
21627,265846,SHADY LAWN LIVING CENTER,MO,03/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/12/2019,2,Y,False
21680,265851,SILVERSTONE PLACE,MO,06/22/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/30/2018,2,Y,False
21688,265676,ST ELIZABETH CARE CENTER,MO,07/13/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/27/2018,2,Y,False
21729,265566,WARSAW HEALTH AND REHABILITATION CENTER,MO,06/01/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/15/2018,2,Y,False
21730,275119,PONDERA MEDICAL CENTER LTC,MT,07/12/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/24/2018,2,Y,False
21735,265672,DUTCHTOWN CARE CENTER,MO,10/26/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/10/2018,2,Y,False
21736,285152,"BCP COLUMBUS, LLC",NE,04/10/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/24/2018,2,Y,False
21772,505128,SEQUIM HEALTH & REHABILITATION,WA,11/14/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/19/2018,2,Y,False
21781,285226,BROOKEFIELD PARK,NE,07/25/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/07/2018,2,Y,False
21795,265856,FAIR VIEW NURSING HOME,MO,01/12/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/23/2018,2,Y,False
21796,265780,ADRIAN MANOR HEALTH & REHABILITATION CENTER,MO,04/19/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/24/2018,2,Y,False
21804,265802,ARMOUR OAKS SENIOR LIVING COMMUNITY,MO,09/07/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",10/22/2018,2,Y,False
21851,265785,INDIAN HILLS-A STONEBRIDGE COMMUNITY,MO,04/19/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/18/2018,2,Y,False
21856,265523,PARKWOOD SKILLED NURSING AND REHABILITATION CENTER,MO,01/30/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/12/2018,2,Y,False
21858,265549,PORTAGEVILLE HEALTH CARE CENTER,MO,01/05/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",02/12/2018,2,Y,False
21917,265817,BLUE CIRCLE REHAB AND NURSING,MO,05/18/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/30/2018,2,Y,False
21943,265696,HILLVIEW NURSING & REHAB,MO,07/12/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/26/2018,2,Y,False
21955,285161,"BCP UTICA, LLC",NE,10/16/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/30/2018,2,N,True
21957,115663,REGENCY PARK HEALTH AND REHABILITATION,GA,01/26/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",03/12/2018,2,Y,False
21977,265534,HERITAGE CARE CENTER,MO,07/30/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/07/2018,2,Y,False
22006,265721,GREGORY RIDGE HEALTH CARE CENTER,MO,05/16/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/30/2018,2,Y,False
22064,315383,CHESHIRE HOME,NJ,04/17/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/18/2018,2,Y,False
22112,315263,"PALACE REHABILITATION AND CARE CENTER, THE",NJ,07/30/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/31/2018,2,Y,False
22133,315264,"COMPLETE CARE AT BEY LEA, LLC",NJ,08/10/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/14/2018,2,Y,False
22137,315111,PREFERRED CARE AT HAMILTON,NJ,09/28/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/29/2018,2,Y,False
22154,315224,FOREST MANOR HCC,NJ,09/26/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/09/2018,2,Y,False
22155,295091,CAREMERIDIAN-BUFFALO,NV,05/25/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/09/2018,2,Y,False
22225,315183,PREMIER CADBURY OF CHERRY HILL,NJ,09/11/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/11/2018,2,Y,False
22240,315219,VOORHEES CENTER,NJ,12/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/21/2018,2,N,True
22253,315190,LEISURE CHATEAU REHABILITATION,NJ,06/05/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/16/2018,2,Y,False
22259,315053,PINE ACRES CONVALESCENT CENTER,NJ,02/01/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/15/2018,2,Y,False
22292,325116,MESCALERO CARE CENTER,NM,01/23/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/03/2019,2,N,True
22296,315458,NEW VISTA,NJ,09/28/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/19/2018,2,Y,False
22319,315210,"HEALTH CENTER AT GALLOWAY, THE",NJ,08/24/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/20/2018,2,Y,False
22327,325118,MCKINLEY CENTER,NM,09/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/20/2018,2,Y,False
22348,295099,HORIZON RIDGE SKILLED NURSING & REHABILITATION CTR,NV,07/25/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/29/2018,2,N,True
22360,315128,VIRTUA HEALTH & REHAB MT HOLLY,NJ,06/29/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/20/2018,2,Y,False
22395,315405,SHADY LANE GLOUCESTER CO HOME,NJ,03/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/10/2019,2,Y,False
22432,295055,COLLEGE PARK REHABILITATION CENTER,NV,01/17/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/31/2019,2,N,True
22457,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,NY,07/31/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/10/2018,2,Y,False
22459,315509,ROOSEVELT CARE CENTER AT OLD BRIDGE,NJ,01/29/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/01/2018,2,Y,False
22465,315305,AMBOY CARE CENTER,NJ,05/04/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/12/2018,2,Y,False
22478,325043,CASA ARENA BLANCA NURSING CENTER,NM,04/02/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",06/22/2018,2,Y,False
22505,315108,PRINCETON CARE CENTER,NJ,07/18/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/25/2018,2,Y,False
22531,315351,BRIGHTON GARDENS OF EDISON,NJ,11/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/07/2019,2,Y,False
22535,315177,GATEWAY CARE CENTER,NJ,11/15/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/16/2018,2,Y,False
22552,315015,MADISON CENTER,NJ,03/06/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/21/2018,2,Y,False
22561,325074,GOOD SAMARITAN SOCIETY - MANZANO DEL SOL,NM,04/30/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/01/2018,2,Y,False
22568,315348,HEALTH CENTER AT BLOOMINGDALE,NJ,11/14/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/04/2019,2,Y,False
22617,28E199,GOLDEN OURS CONVALESCENT HOME,NE,06/14/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/27/2018,2,Y,False
22618,325083,"SOUTH VALLEY CARE CENTER, LLC",NM,06/04/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",06/25/2018,2,Y,False
22629,325062,SIERRA HEALTH CARE CENTER,NM,12/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/21/2018,2,N,True
22633,325130,NEIGHBORHOOD IN RIO RANCHO (THE),NM,09/26/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",10/31/2018,2,Y,False
22635,295036,NORTH LAS VEGAS CARE CENTER,NV,07/06/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/25/2018,2,Y,False
22662,285294,VALLEY VIEW SENIOR VILLAGE,NE,03/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",04/20/2018,2,Y,True
22699,315207,KRESSON VIEW CENTER,NJ,10/05/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/01/2018,2,Y,False
22703,315492,BOONTON CARE CENTER,NJ,07/11/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/27/2018,2,Y,False
22717,315201,LUTHERAN CROSSINGS ENHANCED LIVING AT MOORESTOWN,NJ,10/16/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/30/2018,2,Y,False
22734,315276,MILFORD MANOR,NJ,05/08/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/10/2018,2,Y,False
22754,325111,VILLAGE AT NORTHRISE (THE) - DESERT WILLOW I,NM,04/12/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/27/2018,2,N,True
22755,315409,VALLEY VIEW REHABILITATION AND HEALTHCARE CTR,NJ,08/24/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/11/2018,2,Y,False
22818,315013,BARCLAYS REHABILITATION AND HEALTHCARE CENTER,NJ,02/09/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/23/2018,2,Y,False
22875,305060,BEDFORD HILLS CENTER,NH,05/22/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/03/2018,2,N,True
22913,315521,ATRIUM POST ACUTE CARE OF WOODBURY,NJ,07/06/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/15/2018,2,Y,False
22938,505204,QUEEN ANNE HEALTHCARE,WA,03/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",04/17/2018,2,Y,False
22943,315335,ATRIUM POST ACUTE CARE OF WAYNE,NJ,03/09/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/30/2018,2,Y,False
22948,305040,"LACONIA CENTER, GENESIS HEALTHCARE",NH,08/30/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/14/2018,2,Y,False
22992,315161,FRIENDS VILLAGE AT WOODSTOWN,NJ,07/27/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/22/2018,2,Y,False
23000,305030,MAPLE LEAF HEALTH CARE CENTER,NH,03/16/2018,Health,F,880,Provide and implement an infection prevention and control program.,B,"Deficient, Provider has date of correction",04/13/2018,2,Y,False
23006,285271,NORTHFIELD RETIREMENT COMMUNITIES CARE CENTER,NE,01/03/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/17/2018,2,Y,True
23022,285290,SIDNEY REGIONAL MEDICAL CENTER-EXTENDED CARE,NE,02/13/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/30/2018,2,Y,False
23049,315085,CHESTNUT HILL CONV CENTER,NJ,01/31/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/05/2018,2,Y,False
23072,325042,UPTOWN REHABILITATION CENTER,NM,12/13/2017,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/05/2018,2,Y,False
23100,295078,HIGHLAND MANOR OF ELKO,NV,06/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/22/2018,2,Y,False
23108,325104,NM BEHAVIORAL HEALTH INSTITUTE AT LAS VEGAS(THE),NM,03/29/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/18/2018,2,Y,False
23119,315240,CARE ONE AT JACKSON,NJ,06/15/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/06/2018,2,Y,False
23124,325058,GOOD SAMARITAN SOCIETY -  GRANTS,NM,06/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/28/2018,2,Y,False
23164,295075,PAHRUMP HEALTH AND REHABILITATION CENTER,NV,08/29/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/11/2018,2,N,True
23179,305048,HILLSBOROUGH COUNTY NURSING HOME,NH,09/11/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/19/2018,2,Y,False
23240,315452,PEACE CARE ST JOSEPH'S,NJ,12/17/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",02/15/2019,2,N,True
23241,315141,ABINGDON CARE & REHABILITATION CENTER,NJ,10/19/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/30/2018,2,Y,False
23243,325044,MISSION ARCH CENTER,NM,04/09/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/08/2019,2,Y,False
23264,295071,TLC CARE CENTER,NV,03/13/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/11/2018,2,N,True
23278,315468,CARE ONE AT MORRIS,NJ,02/16/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/20/2018,2,Y,False
23320,295086,LAS VENTANAS RETIREMENT COMM SNF,NV,02/23/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/20/2018,2,Y,False
23324,315202,LOPATCONG CENTER,NJ,11/01/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/10/2018,2,Y,False
23395,295090,ADVANCED HEALTH CARE OF LAS VEGAS,NV,05/18/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/27/2018,2,Y,False
23407,315215,GREENWOOD HOUSE HOME FOR THE JEWISH AGED,NJ,05/04/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/30/2018,2,Y,False
23457,305052,"RIDGEWOOD CENTER, GENESIS HEALTHCARE",NH,10/08/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/20/2018,2,Y,False
23473,295089,MARQUIS CARE AT CENTENNIAL HILLS,NV,10/05/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/01/2018,2,Y,False
23475,315300,ALARIS HEALTH AT HAMILTON PARK,NJ,02/12/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/01/2018,2,Y,False
23486,28E180,REGIONAL WEST GARDEN COUNTY NURSING HOME,NE,09/13/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/22/2018,2,Y,False
